# name	address	city	state	zipcode	phone	website	general email	ceo name	ceo email
Gannett	7950 Jones Branch Dr.	McLean	VA	22107	703-854-6000	www.gannett.com	gcishare@gannett.com	Craig A. Dubow	None
Gap	2 Folsom St.	San Francisco	CA	94105	650-952-4400	www.gapinc.com	custserv@gap.com	Glenn K. Murphy	None
Gardner Denver	1800 Gardner Expwy.	Quincy	IL	62305	217-222-5400	www.gardnerdenver.com	pd.blowers@gardnerdenver.com	Barry L. Pennypacker	None
General Cable	4 Tesseneer Dr.	Newport	KY	41076	859-572-8000	www.generalcable.com	info@generalcable.com	Gregory B. Kenny	gkenny@generalcable.com
General Dynamics	2941 Fairview Park Dr.	Mosby	VA	22042	703-876-3000	www.generaldynamics.com	wm4gd@gendyn.com	Nicholas D. Chabraja	None
General Electric	3135 Easton Turnpike	Fairfield	CT	06828	203-373-2211	www.ge.com	info@ge.com	Jeffrey R. Immelt	None
General Growth Properties	110 N. Wacker Dr.	Chicago	IL	60606	312-960-5000	www.ggp.com	general.properties@ggp.com	John Bucksbaum	john.bucksbaum@ggp.com
General Mills	1 General Mills Blvd.	Saint Louis Park	MN	55426	763-764-7600	www.generalmills.com	Corporate.Response@genmills.com	Kendall J. Powell	None
General Motors	300 Renaissance Center	Detroit	MI	48265	313-556-5000	www.gm.com	john.m.devine@gm.com	G. Richard Wagoner Jr.	richard.wagoner@gm.com
Genuine Parts	2999 Circle 75 Pkwy.	Atlanta	GA	30339	770-953-1700	www.genpt.com	webmaster@genpt.com	Thomas C. Gallagher	None
Genworth Financial	6620 W. Broad St.	West End	VA	23230	804-281-6000	www.genworth.com	contactus@genworth.com	Michael D. Fraizer	None
Genzyme	500 Kendall St.	Cambridge	MA	02142	617-252-7500	www.genzyme.com	cholestageleurope@genzyme.com	Henri A. Termeer	None
Georgia Gulf	115 Perimeter Center Place	Atlanta	GA	30346	770-395-4500	www.ggc.com	creditmail@ggc.com	Paul D. Carrico	None
Gilead Sciences	333 Lakeside Dr.	Foster City	CA	94404	650-574-3000	www.gilead.com	public_affairs@gilead.com	John C. Martin, Ph.D.	john.martin@gilead.com
Global Partners	800 South St.	Waltham	MA	02453	781-894-8800	www.globalp.com	info@globalp.com	Eric Slifka	eslifka@globalp.com
GMAC	200 Renaissance Center	Detroit	MI	48265	313-556-5000	www.gmacfs.com	investor.relations@gmacfs.com	Alvaro G. de Molina	None
Goldman Sachs Group	85 Broad St.	Governors Island	NY	10004	212-902-1000	www.gs.com	None	Lloyd C. Blankfein	Blankfein@gs.com
Goodrich	2730 W. Tyvola Rd.	Charlotte	NC	28217	704-423-7000	www.goodrich.com	None	Marshall O. Larsen	None
Goodyear Tire & Rubber	1144 E. Market St.	Akron	OH	44316	330-796-2121	www.goodyear.com	goodyearep@digiknow.com	Robert J. Keegan	robert.keegan@goodyear.com
Google	1600 Amphitheatre Pkwy.	Mountain View	CA	94043	650-253-0000	www.google.com	press@google.com	Eric E. Schmidt	None
Graham Packaging	2401 Pleasant Valley Rd.	East York	PA	17402	717-849-8500	www.grahampackaging.com	graham.specialtycontainers@grahampackaging.com	Warren D. Knowlton	None
Granite Construction	585 W. Beach St.	La Selva Beach	CA	95076	831-724-1011	www.graniteconstruction.com	info@gcinc.com	William G. Dorey	None
Grant Prideco	400 N. Sam Houston Pkwy. E.	Houston	TX	77060	281-878-8000	www.grantprideco.com	qhse@grantprideco.com.	Michael McShane	None
Graphic Packaging	814 Livingston Court	Marietta	GA	30067	770-644-3000	www.graphicpkg.com	patti.gettinger@graphicpkg.com	David W. Scheible	None
Graybar Electric	34 N. Meramec Ave.	Clayton	MO	63105	314-573-9200	www.graybar.com	info@graybar.com	Robert A. Reynolds Jr.	None
Great Atlantic & Pacific Tea	2 Paragon Dr.	Montvale	NJ	07645	201-573-9700	www.aptea.com	apcustomerrel@aptea.com	Eric Claus	clause@aptea.com
Great Plains Energy	1201 Walnut St.	Kansas City	MO	64106	816-556-2200	www.greatplainsenergy.com	custserv@kcpl.com.	Michael J. Chesser	None
Greif	425 Winter Road	Delaware	OH	43015	740-549-6000	www.greif.com	tammy.drumheller@greif.com	Michael J. Gasser	None
Group 1 Automotive	950 Echo Lane	Houston	TX	77024	713-647-5700	www.group1auto.com	benefits@group1auto.com	Earl J. Hesterberg	None
Guardian Life Ins. Co. of America	7 Hanover Square	Governors Island	NY	10004	212-598-8000	www.guardianlife.com	marketcc@glic.com	Dennis J. Manning	None
Guess	1444 S. Alameda St.	Los Angeles	CA	90021	213-765-3100	www.guess.com	customerservice@guess.com	Paul Marciano	None
H&R Block	1 H&amp;R Block Way	Kansas City	MO	64105	816-854-3000	www.hrblock.com	customersupport@hrblock.com	Alan M. Bennett	None
H.J. Heinz	600 Grant St.	Uptown	PA	15219	412-456-5700	www.heinz.com	info@heinz.com	William R. Johnson	None
Halliburton	1401 McKinney St.	Houston	TX	77010	713-759-2600	www.halliburton.com	None	David J. Lesar	David.Lesar@halliburton.com
Hanesbrands	1000 E. Hanes Mill Rd.	Winston Salem	NC	27105	336-519-4400	www.hanesbrands.com	None	Richard A. Noll	None
Hanover Insurance Group	440 Lincoln St.	Worcester	MA	01653	508-855-1000	www.hanover.com	None	Frederick H. Eppinger Jr.	None
Harley-Davidson	3700 W. Juneau Ave.	Milwaukee	WI	53208	414-342-4680	www.harley-davidson.com	licensingdept@harley-davidson.com	James L. Ziemer	None
Harman International Industries	1101 Pennsylvania Ave. N.W.	Washington	DC	20004	202-393-1101	www.harman.com	info@harman.com	Dinesh C. Paliwal	dpaliwal@harman.com
Harrah's Entertainment	1 Caesars Palace Dr.	Las Vegas	NV	89109	702-407-6000	www.harrahs.com	None	Gary W. Loveman	None
Harris	1025 W. NASA Blvd.	Melbourne	FL	32919	321-727-9100	www.harris.com	webmaster@harris.com	Howard L. Lance	None
Harsco	350 Poplar Church Rd.	Shiremanstown	PA	17011	717-763-7064	www.harsco.com	info@multiserv.com	Salvatore D. Fazzolari	sfazzolari@harsco.com
Hartford Financial Services	1 Hartford Plaza	Hartford	CT	06155	860-547-5000	www.thehartford.com	lifeservice@hartfordlife.com	Ramani Ayer	ramani.ayer@thehartford.com
Hasbro	1027 Newport Ave.	Pawtucket	RI	02862	401-431-8697	www.hasbro.com	hasbro@custhelp.com	Alfred J. Verrecchia	averrecchia@hasbro.com
Hawaiian Electric Industries	900 Richards St.	Honolulu	HI	96813	808-543-5662	www.hei.com	shollinger@hei.com, invest@hei.com	Constance H. Lau	clau@hei.com
Hayes Lemmerz	15300 Centennial Dr.	Northville	MI	48168	734-737-5000	www.hayes-lemmerz.com	naaw@hayes-lemmerz.com	Curtis J. Clawson	kclawson@hayes-lemmerz.com
HCA	1 Park Plaza	Nashville	TN	37203	615-344-9551	www.hcahealthcare.com	sales@healthtrustpg.com	Jack O. Bovender Jr.	
HCC Insurance Holdings	13403 NW Freeway	Jersey Village	TX	77040	713-690-7300	www.hcc.com	investorrelations@hcc.com	Frank J. Bramanti	None
Health Management Associates	5811 Pelican Bay Blvd.	Naples	FL	34108	239-598-3131	www.hma.com	info@hma.com	Burke W. Whitman	None
Health Net	21650 Oxnard St.	Woodland Hills	CA	91367	818-676-6000	www.healthnet.com	netsoft@health.net	Jay M. Gellert	None
HealthExtras	800 King Farm Blvd.	Rockville	MD	20850	301-548-2900	www.healthextras.com	info@healthextras.com	David T. Blair	
HealthSouth	1 HealthSouth Pkwy.	Cahaba Heights	AL	35243	205-967-7116	www.healthsouth.com	None	Jay Grinney	JayGrinney@healthsouth.com
Helix Energy Solutions Group	400 N. Sam Houston Pkwy.	Houston	TX	77060	281-618-0400	www.helixESG.com	recruit-hrds@helixesg.com	Owen Kratz	None
Helmerich & Payne	1437 S. Boulder Ave.	Tulsa	OK	74119	918-742-5531	www.hpinc.com	human.resources@hpinc.com	Hans Helmerich	None
Henry Schein	135 Duryea Rd.	Melville	NY	11747	631-843-5500	www.henryschein.com	dentsls@henryschein.com	Stanley M. Bergman	None
Hercules	1313 N. Market St.	Wilmington	DE	19894	302-594-5000	www.herc.com	crogerson@herc.com	Craig A. Rogerson	crogerson@herc.com
Herman Miller	855 E. Main Ave.	Zeeland	MI	49464	616-654-3000	www.hermanmiller.com	robert_richardson@hermanmiller.com	Brian C. Walker	None
Hershey	100 Crystal A Dr.	Hershey	PA	17033	717-534-4200	www.hersheys.com	None	David J. West	david.west@thehersheycompany.com
Hertz Global Holdings	225 Brae Blvd.	Park Ridge	NJ	07656	201-307-2000	www.hertz.com	gold_service_uk@hertz.com	Mark P. Frissora	Mark.Frissora@hertz.com
Hess	1185 Ave. of the Americas	New York	NY	10036	212-997-8500	www.hess.com	CorporateCommunications@hess.com	John B. Hess	john.hess@hess.com
Hewitt Associates	100 Half Day Rd.	Prairie View	IL	60069	847-295-5000	www.hewitt.com	infoaustralia@hewitt.com	Russell P. Fradin	None
Hewlett-Packard	3000 Hanover St.	Palo Alto	CA	94304	650-857-1501	www.hp.com	info@hp.com	Mark V. Hurd	mark.hurd@hp.com
Hexion Specialty Chemicals	180 E. Broad St.	Columbus	OH	43215	614-225-4000	www.hexion.com	4information@hexion.com	Craig O. Morrison	None
Hill-Rom Holdings	1069 State Rte. 46 E.	Batesville	IN	47006	812-934-7000	www.hillenbrand.com	nancy.nobbe@hill-rom.com	Peter H. Soderberg	None
HNI	408 E. Second St.	Muscatine	IA	52761	563-272-7400	www.hnicorp.com	info@hnicorp.com	Stanley A. Askren	None
Holly	100 Crescent Court	Dallas	TX	75201	214-871-3555	www.hollycorp.com	hr@hollycorp.com	Matthew P. Clifton	None
Home Depot	2455 Paces Ferry Rd. N.W.	Atlanta	GA	30339	770-433-8211	www.homedepot.com	customercare@homedepot.com	Francis S. Blake	Frank_Blake@homedepot.com
Honeywell International	101 Columbia Rd.	Morris Township	NJ	07962	973-455-2000	www.honeywell.com	webcontentsupport@honeywell.com	David M. Cote	dave.cote@honeywell.com
Hormel Foods	1 Hormel Place	Austin	MN	55912	507-437-5611	www.hormelfoods.com	cresponse@hormel.com	Jeffrey M. Ettinger	None
Hospira	275 N. Field Dr.	Lake Forest	IL	60045	224-212-2000	www.hospira.com	one2one@hospira.com	Christopher B. Begley	None
Host Hotels & Resorts	6903 Rockledge Dr.	West Bethesda	MD	20817	240-744-1000	www.hosthotels.com	info@hosthotels.com	W. Edward Walter	None
Hovnanian Enterprises	110 W. Front St.	Suburban	NJ	07701	732-747-7800	www.khov.com	ahovnanian@khov.com	Ara K. Hovnanian	None
Hub Group	3050 Highland Pkwy.	Downers Grove	IL	60515	630-271-3600	www.hubgroup.com	CASupport@hubgroup.com	David P. Yeager	None
Hubbell	584 Derby Milford Rd.	Orange	CT	06477	203-799-4100	www.hubbell.com	info@hubbell.com	Timothy H. Powers	None
Hudson City Bancorp	W. 80 Century Rd.	Paramus	NJ	07652	201-967-1900	www.hcsbonline.com	None	Ronald E. Hermance Jr.	rhermance@hcsbnj.com
Humana	500 W. Main St.	Louisville	KY	40202	502-580-1000	www.humana.com	None	Michael B. McCallister	None
Huntington Bancshares	41 S. High St.	Columbus	OH	43287	614-480-8300	www.huntington.com	direct@huntington.com	Thomas E. Hoaglin	None
Huntsman	500 Huntsman Way	Salt Lake City	UT	84108	801-584-5700	www.huntsman.com	info@huntsman.com	Peter R. Huntsman	Peter_R_Huntsman@huntsman.com
IAC/InterActiveCorp	555 W. 18th St.	New York	NY	10011	212-314-7300	www.iac.com	info@iac.com	Barry Diller	None
Iasis Healthcare	117 Seaboard Lane	Franklin	TN	37067	615-844-2747	www.iasishealthcare.com	info@iasishealthcare.com	David R. White	None
Icahn Enterprises	767 Fifth Ave.	New York	NY	10153	212-702-4300	www.icahnenterprises.com	None	Keith A. Meister	None
Idearc	2200 W. Airfield Dr.	Dallas/Ft. Worth Airport	TX	75261	972-453-7000	www.idearc.com	idearc@computershare.com	Frank P. Gatto	None
IDT	520 Broad St.	Newark	NJ	07102	973-438-1000	www.idt.net	idtvoicelinesupport@idt.net	James A. Courter	None
Ikon Office Solutions	70 Valley Stream Pkwy.	Frazer	PA	19355	610-296-8000	www.ikon.com	mespe@ikon.com	Matthew J. Espe	None
Illinois Tool Works	3600 W. Lake Ave.	Glenview Nas	IL	60026	847-724-7500	www.itw.com	contact_us@itw.com	David B. Speer	None
Imation	1 Imation Way	Oakdale	MN	55128	651-704-4000	www.imation.com	None	Frank P. Russomanno	None
IMS Health	901 Main Ave.	Norwalk	CT	06851	203-845-5200	www.imshealth.com	None	David R. Carlucci	None
IndyMac Bancorp	888 E. Walnut St.	Pasadena	CA	91101	800-669-2300	www.imb.com	None	Michael W. Perry	michael.perry@imb.com
Ingles Markets	2913 U.S. Hwy. 70 W.	Black Mountain S	NC	28711	828-669-2941	www.ingles-markets.com	None	Robert P. Ingle	None
Ingram Micro	1600 E. St. Andrew Place	Cowan Heights	CA	92705	714-566-1000	www.ingrammicro.com	IMLsales@ingrammicro.com	Gregory M.E. Spierkel	None
Insight Enterprises	1305 W. Auto Dr.	Tempe	AZ	85284	480-902-1001	www.insight.com	None	Richard A. Fennessy	None
Integrys Energy Group	130 E. Randolph Dr.	Chicago	IL	60601	312-228-5400	www.integrysgroup.com	None	Larry L. Weyers	None
Intel	2200 Mission College Blvd.	Santa Clara	CA	95054	408-765-8080	www.intel.com	info@intel.com	Paul S. Otellini	paul.otellini@intel.com
Interactive Brokers Group	1 Pickwick Plaza	Byram	CT	06830	203-618-5800	www.interactivebrokers.com	help@interactivebrokers.com	Thomas Peterffy	None
International Assets Holding	220 E. Central Pkwy.	Altamonte Spring	FL	32701	407-741-5300	www.intlassets.com	sbranch@intlassets.com	Sean M. O'Connor	SOConnor@intlassets.com
International Business Machines	1 New Orchard Rd.	Armonk	NY	10504	914-499-1900	www.ibm.com	ews@us.ibm.com	Samuel J. Palmisano	None
International Game Technology	9295 Prototype Dr.	Reno	NV	89521	775-448-7777	www.igt.com	IGTSystemsCustomerSatisfaction@IGT.com	Thomas J. Matthews	None
International Paper	6400 Poplar Ave.	Memphis	TN	38197	901-419-7000	www.internationalpaper.com	None	John V. Faraci	None
Interpublic Group	1114 Sixth Ave.	New York	NY	10036	212-704-1200	www.interpublic.com	david.weiss@interpublic.com	Michael I. Roth	None
Interstate Bakeries	12 E. Armour Blvd.	Kansas City	MO	64111	816-502-4000	www.interstatebakeriescorp.com	support@interstatebakeriescorp.com	Craig D. Jung	None
Intuit	2700 Coast Avenue	Mountain View	CA	94043	650-944-6000	www.intuit.com	site_feedback@intuit.com	Brad D. Smith	Brad_Smith2@intuit.com
Iron Mountain	745 Atlantic Ave.	Boston	MA	02111	617-535-4766	www.ironmountain.com	info@emailmanagementsuite.com	C. Richard Reese	Richard.reese@ironmountain.com
ITT	4 W. Red Oak Lane	East White Plain	NY	10604	914-641-2000	www.itt.com	mailto:%20andy.hilton@itt.com	Steven R. Loranger	None
J.B. Hunt Transport Services	615 J.B. Hunt Corporate Dr.	Lowell	AR	72745	479-820-0000	www.jbhunt.com	general@jbhunt.com	Kirk Thompson	kirk_thompson@jbhunt.com
J.C. Penney	6501 Legacy Dr.	Plano	TX	75024	972-431-1000	www.jcpenney.net	None	Myron E. Ullman III	None
J.M. Smucker	1 Strawberry Lane	Orrville	OH	44667	330-682-3000	www.smucker.com	investor.relations@jmsmucker.com		None
J.P. Morgan Chase & Co.	270 Park Ave.	New York	NY	10017	212-270-6000	www.jpmorganchase.com	jpmam.info@jpmorgan.com	James Dimon	None
Jabil Circuit	10560 Dr. Martin Luther King Jr. St. N.	Saint Petersburg	FL	33716	727-577-9749	www.jabil.com	dave_emerson@jabil.com	Timothy L. Main	None
Jack in the Box	9330 Balboa Ave.	San Diego	CA	92123	858-571-2121	www.jackinthebox.com	franchise.sales@jackinthebox.com	Linda A. Lang	None
Jacobs Engineering Group	1111 S. Arroyo Pkwy.	Pasadena	CA	91105	626-578-3500	www.jacobs.com	contactus@jacobs.com	Craig L. Martin	
Jarden	555 Theodore Fremd Ave.	Rye	NY	10580	914-967-9400	www.jarden.com	inquiries@nationalcity.com	Martin E. Franklin	None
Jefferies Group	520 Madison Ave.	New York	NY	10022	212-284-2300	www.jefferies.com	portfoliotrading@Jefferies.com	Richard B. Handler	None
JetBlue Airways	118-29 Queens Blvd.	Forest Hills	NY	11375	718-286-7900	www.jetblue.com	CorporateCommunications@jetblue.com	David Barger	None
Jo Ann Stores	5555 Darrow Road	Hudson	OH	44236	330-656-2600	www.joann.com	customercare@joann.com	Darrell D. Webb	None
Johnson & Johnson	1 Johnson &amp; Johnson Plaza	New Brunswick	NJ	08933	732-524-0400	www.jnj.com	jnj-admin@corus.jnj.com	William C. Weldon	wweldon@jnj.com
Johnson Controls	5757 N. Green Bay Ave.	Milwaukee	WI	53201	414-524-1200	www.johnsoncontrols.com	info@johnsoncontrols.com	Stephen A. Roell	None
JohnsonDiversey	8310 16th St.	Sturtevant	WI	53177	262-631-4001	www.johnsondiversey.com	idea.submission@johnsondiversey.com	Edward F. Lonergan	None
Jones Apparel Group	1411 Broadway	New York	NY	10018	212-642-3860	www.jny.com	legal@jny.com	Wesley R. Card	None
Jones Lang LaSalle	200 E. Randolph Dr.	Chicago	IL	60601	312-782-5800	www.joneslanglasalle.com	info@am.jll.com	Colin Dyer	
Joy Global	100 E. Wisconsin Ave.	Milwaukee	WI	53202	414-319-8500	www.joyglobal.com	gzagoudis@frbir.com	Michael W. Sutherlin	None
Juniper Networks	1194 N. Mathilda Ave.	Sunnyvale	CA	94089	408-745-2000	www.juniper.net	correspondence@cc.juniper.com	Scott G. Kriens	None
Kansas City Southern	427 W. 12th St.	Kansas City	MO	64105	816-983-1303	www.kcsouthern.com	mhaverty@kcsouthern.com	Michael R. Haverty	None
KB Home	10990 Wilshire Blvd.	Los Angeles	CA	90024	310-231-4000	www.kbhome.com	customerrelations@KBHome.com	Jeffrey T. Mezger	jmezger@kbhome.com
KBR	601 Jefferson St.	Houston	TX	77002	713-753-3011	www.kbr.com	info@kbr.com	William P. Utt	bill.utt@kbr.com
Kellogg	1 Kellogg Square	Battle Creek	MI	49016	269-961-2000	www.kelloggcompany.com	carol.ebanks@kellogg.com	A.D. David Mackay	None
Kelly Services	999 W. Big Beaver Rd.	Troy	MI	48084	248-362-4444	www.kellyservices.com	kfirst@kellyservices.com (general inquiries)	Carl T. Camden	None
Kennametal	1600 Technology Way	Latrobe	PA	15650	724-539-5000	www.kennametal.com	ftmill.service@kennametal.com	Carlos M. Cardoso	None
Key Energy Services	1301 McKinney St.	Houston	TX	77010	713-651-4300	www.keyenergy.com	None	Richard J. Alario	None
KeyCorp	127 Public Square	Cleveland	OH	44114	216-689-6300	www.key.com	EducationRes@KeyBank.com	Henry L. Meyer III	None
Kimberly-Clark	351 Phelps Dr.	Irving	TX	75038	972-281-1200	www.kimberly-clark.com	None	Thomas J. Falk	thomas.j.falk@kcc.com
Kindred Healthcare	680 S. Fourth St.	Louisville	KY	40202	502-596-7300	www.kindredhealthcare.com	None	Paul J. Diaz	None
King Pharmaceuticals	501 5th St.	Bristol	TN	37620	423-989-8000	www.kingpharm.com	None	Brian A. Markison	None
Kla-Tencor	160 Rio Robles	San Jose	CA	95134	408-875-3000	www.kla-tencor.com	info@kla-tencor.com	Richard P. Wallace	None
Knight	500 Dallas St.	Houston	TX	77002	713-369-9000	www.kindermorgan.com	km_web@kindermorgan.com	Richard D. Kinder	
Knights of Columbus	1 Columbus Plaza	New Haven	CT	06510	203-752-4000	www.kofc.org	info@kofc.org	Carl A. Anderson	carl.anderson@kofc.org
Kohl's	N56 W17000 Ridgewood Dr.	Menomonee Falls	WI	53051	262-703-7000	www.kohls.com	Customer.Service@Kohls.com	R. Lawrence Montgomery	larry.montgomery@kohls.com
Kraft Foods	3 Lakes Dr.	Northfield	IL	60093	847-646-2000	www.kraft.com	None	Irene B. Rosenfeld	None
Kroger	1014 Vine St.	Cincinnati	OH	45202	513-762-4000	www.kroger.com	kroger.investors@kroger.com	David B. Dillon	david.dillon@kroger.com
L-3 Communications	600 Third Ave.	New York	NY	10016	212-697-1111	www.L-3com.com	None	Michael T. Strianese	None
La-Z-Boy	1284 N. Telegraph Rd.	Monroe	MI	48162	734-242-1444	www.la-z-boy.com	info@lazboy.com	Kurt L. Darrow	None
Laboratory Corp. of America	358 S. Main St.	Glen Raven	NC	27215	336-229-1127	www.labcorp.com	commaff@labcorp.com	David P. King	dave.king@labcorp.com
Laclede Group	720 Olive St.	Saint Louis	MO	63101	314-342-0500	www.thelacledegroup.com	investorservices@lacledegas.com	Douglas H. Yaeger	None
Lam Research	4650 Cushing Parkway	Fremont	CA	94538	510-572-0200	www.lamrc.com	salesinformation@lamrc.com	Stephen G. Newberry	None
Land O'Lakes	4001 Lexington Ave. N.	Shoreview	MN	55126	651-481-2222	www.landolakesinc.com	LRBotham@landolakes.com	Christopher J. Policinski	None
LandAmerica Financial Group	5600 Cox Rd.	Glen Allen	VA	23060	804-267-8000	www.landam.com	customerservice@landam.com	Theodore L. Chandler Jr.	tchandler@landam.com
Landstar System	13410 Sutton Park Dr. S.	Jacksonville	FL	32224	904-398-9400	www.landstar.com	security@landstar.com	Henry H. Gerkens	None
Las Vegas Sands	3355 Las Vegas Blvd. S.	Las Vegas	NV	89109	702-414-1000	www.lasvegassands.com	None	Sheldon G. Adelson	None
Leap Wireless International	10307 Pacific Center Ct.	San Diego	CA	92121	858-882-6000	www.leapwireless.com	glund@leapwireless.com	S. Douglas Hutcheson	None
Lear	21557 Telegraph Rd.	Southfield	MI	48033	248-447-1500	www.lear.com	pvandenboom@lear.com	Robert E. Rossiter	None
Legg Mason	100 Light St.	Baltimore	MD	21202	410-539-0000	www.leggmason.com	webinquiries@leggmason.com	Mark R. Fetting	None
Leggett & Platt	1 Leggett Rd.	Carthage	MO	64836	417-358-8131	www.leggett.com	info@leggett.com	David S. Haffner	None
Lehman Brothers Holdings	745 Seventh Ave.	New York	NY	10019	212-526-7000	www.lehman.com	Index_Feedback@lehman.com	Richard S. Fuld Jr.	None
Lennar	700 N.W. 107th Ave.	Miami	FL	33172	305-559-4000	www.lennar.com	marshall.ames@lennar.com	Stuart A. Miller	stuart.miller@lennar.com
Lennox International	2140 Lake Park Blvd.	Richardson	TX	75080	972-497-5000	www.lennoxinternational.com	karen.o'shea@lennoxintl.com	Todd M. Bluedorn	None
Level 3 Communications	1025 Eldorado Blvd.	Westminster	CO	80021	720-888-1000	www.level3.com	info@level3.com	James Q. Crowe	None
Levi Strauss	1155 Battery St.	San Francisco	CA	94111	415-501-6000	www.levistrauss.com	None	R. John Anderson	kerry.clark@cardinal.com
Lexmark International	740 W. New Circle Rd.	Lexington	KY	40550	859-232-2000	www.lexmark.com	info@lexmark.com	Paul J. Curlander	None
Liberty Global	12300 Liberty Blvd.	Englewood	CO	80112	303-220-6600	www.lgi.com	info@lgi.com	Michael T. Fries	None
Liberty Media	12300 Liberty Blvd.	Englewood	CO	80112	720-875-5400	www.libertymedia.com	info@libertymedia.com	Gregory B. Maffei	None
Liberty Mutual Insurance Group	175 Berkeley St.	Boston	MA	02116	617-357-9500	www.libertymutual.com	PresidentialSvcTeam@libertymutual.com	Edmund F. Kelly	None
LifePoint Hospitals	103 Powell Ct.	Brentwood	TN	37027	615-372-8500	www.lifepointhospitals.com	general.information@lpnt.net	William F. Carpenter III	None
Limited Brands	3 Limited Pkwy.	Gahanna	OH	43230	614-415-7000	www.limitedbrands.com	None	Leslie H. Wexner	None
Lincoln Electric Holdings	22801 St. Clair Ave.	Euclid	OH	44117	216-481-8100	www.lincolnelectric.com	info@lincolnelectric.com	John M. Stropki Jr.	None
Lincoln National	150 N. Radnor Chester Rd.	Radnor	PA	19087	484-583-1400	www.lfg.com	Contact@lincolnfinancialfield.com	Dennis R. Glass	None
Linens Holding	6 Brighton Rd.	Clifton	NJ	07015	973-778-1300	www.lnt.com	vicepresident@lnt.com	Robert J. Di Nicola	rdinicola@lnt.com
Lithia Motors	360 E. Jackson St.	West Main	OR	97501	541-776-6868	www.lithia.com	invest@lithia.com	Sidney B. DeBoer	sdeboer@lithia.com
Live Nation	9348 Civic Center Dr.	Beverly Hills	CA	90210	310-867-7000	www.livenation.com	VWASTL@LiveNation.com	Michael Rapino	None
Liz Claiborne	1441 Broadway	New York	NY	10018	212-354-4900	www.lizclaiborne.com	consumer_relations@liz.com	William L. McComb	None
Lockheed Martin	6801 Rockledge Dr.	West Bethesda	MD	20817	301-897-6000	www.lockheedmartin.com	busdev@lmaasa.com	Robert J. Stevens	None
Loews	667 Madison Ave.	New York	NY	10021	212-521-2000	www.loews.com	IR@loews.com	James S. Tisch	
Longs Drug Stores	141 N. Civic Dr.	Walnut Creek	CA	94596	925-937-1170	www.longs.com	info@longs.com	Warren F. Bryant	None
Louisiana-Pacific	414 Union St.	Nashville	TN	37219	615-986-5600	www.lpcorp.com	marketing.center@lpcorp.com	Richard W. Frost	rick.frost@lpcorp.com
Lowe's	1000 Lowe's Blvd.	Mooresville	NC	28117	704-758-1000	www.lowes.com	execustservice@lowes.com	Robert A. Niblock	robert.a.niblock@lowes.com
LSI	1621 Barber Ln.	Milpitas	CA	95035	408-433-8000	www.lsi.com	None	Abhijit Y. Talwalkar	None
Lubrizol	29400 Lakeland Blvd.	Wickliffe	OH	44092	440-943-4200	www.lubrizol.com	None	James L. Hambrick	jlh@lubrizol.com
M&T Bank Corp.	1 M&amp;T Plaza	Buffalo	NY	14203	716-842-5445	www.mtb.com	None	Robert G. Wilmers	None
Macy's	7 W. Seventh St.	Cincinnati	OH	45202	513-579-7000	www.macysinc.com	None	Terry J. Lundgren	None
Magellan Health Services	55 Nod Rd.	Avon	CT	06001	860-507-1900	www.magellanhealth.com	essomers@magellanhealth.com	Rene Lerer M.D.	None
Manitowoc	2400 S. 44th St.	Manitowoc	WI	54221	920-684-4410	www.manitowoc.com	info@manitowoc.com	Glen E. Tellock	None
Manpower	100 Manpower Place	Milwaukee	WI	53212	414-961-1000	www.manpower.com	Paducah.KY@na.manpower.com	Jeffrey A. Joerres	
Marathon Oil	5555 San Felipe Rd.	Houston	TX	77056	713-629-6600	www.marathon.com	custrelations@marathonpetroleum.com	Clarence P. Cazalot Jr.	None
Markel	4521 Highwoods Pkwy.	Glen Allen	VA	23060	804-747-0136	www.markelcorp.com	information@markelcorp.com	Alan I. Kirshner	akirshner@markelcorp.com
Marriott International	10400 Fernwood Rd.	West Bethesda	MD	20817	301-380-3000	www.marriott.com	None	J.W. Marriott Jr.	None
Marsh & McLennan	1166 Sixth Ave.	New York	NY	10036	212-345-5000	www.mmc.com	mailto:customerservice@marshpm.com	Brian Duperreault	None
Marshall & Ilsley Corp.	770 N. Water St.	Milwaukee	WI	53202	414-765-7700	www.micorp.com	reportfraud@mibank.com	Mark F. Furlong	None
Martin Marietta Materials	2710 Wycliff Rd.	Raleigh	NC	27607	919-781-4550	www.martinmarietta.com	fgd@martinmarietta.com	Stephen P. Zelnak Jr.	None
Masco	21001 Van Born Rd.	Taylor	MI	48180	313-274-7400	www.masco.com	customerservice@kraftmaid.com	Timothy Wadhams	None
Massachusetts Mutual Life Insurance	1295 State St.	Springfield	MA	01111	413-788-8411	www.massmutual.com	customerservice@massmutual.com	Stuart H. Reese	sreese@massmutual.com
Massey Energy	4 N. 4th St.	Richmond	VA	23219	804-788-1800	www.masseyenergyco.com	None	Don L. Blankenship	None
MasterCard	2000 Purchase St.	Purchase	NY	10577	914-249-2000	www.mastercard.com	AdvisorInfo@mastercardadvisors.com	Robert W. Selander	rselander@mastercard.com
Mattel	333 Continental Blvd.	El Segundo	CA	90245	310-252-2000	www.mattel.com	foundation@mattel.com	Robert A. Eckert	robert.eckert@mattel.com
